2025-11-12 14:59:53 [DEBUG] urllib3.connectionpool: https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1hjXERVEURCeKXeCw8TUbrkjF25_GVmORN0JgjZuu058?includeGridData=false HTTP/1.1" 200 None
2025-11-12 14:59:53 [INFO] face-presence-api: [FastAPI] Application initialized and ready.
2025-11-12 14:59:53 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:54 [INFO] face-presence-api: TFLite interpreter initialized on startup.
2025-11-12 14:59:54 [INFO] face-presence-api: [BatchLogger] Background loggers started
2025-11-12 14:59:54 [INFO] face-presence-api: [BatchLogger] Spreadsheet integration activated successfully.
2025-11-12 14:59:54 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:54 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:55 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:55 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:55 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:56 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:56 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:57 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:57 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:57 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:58 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:58 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:59 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:59 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:59 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:00 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:00 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:01 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:01 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:01 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:02 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:02 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:03 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:03 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:03 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:04 [DEBUG] face-presence-api: [BatchLogger] No durations, skip flush
2025-11-12 15:00:04 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:04 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:05 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:05 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:05 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:06 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:06 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:07 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:07 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:07 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:08 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:08 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:09 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:09 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:09 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:10 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:10 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:11 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:11 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:11 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:12 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:12 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:13 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:13 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:14 [DEBUG] face-presence-api: [BatchLogger] No durations, skip flush
2025-11-12 15:00:14 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:14 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:14 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:15 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:15 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:16 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:16 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:17 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:17 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:17 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:18 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:18 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:19 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:19 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:19 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:20 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:20 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:21 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:21 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:21 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:22 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:22 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:23 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:23 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:24 [DEBUG] face-presence-api: [BatchLogger] No verifications, skip flush
2025-11-12 15:00:24 [DEBUG] face-presence-api: [BatchLogger] No registrations, skip flush
2025-11-12 15:00:24 [DEBUG] face-presence-api: [BatchLogger] No durations, skip flush
2025-11-12 15:00:24 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:24 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:24 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:25 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:25 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:26 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:26 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:26 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:27 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:27 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:28 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:28 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:28 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:29 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:29 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:30 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:30 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:30 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:31 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:31 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:32 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:32 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:33 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:33 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:33 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:34 [DEBUG] face-presence-api: [BatchLogger] No durations, skip flush
2025-11-12 15:00:34 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:34 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:35 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:35 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:35 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:36 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:36 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:37 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:37 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:37 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:38 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:38 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:39 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:39 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:39 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:40 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:40 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:41 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:41 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:41 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:42 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:42 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:43 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:43 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:43 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:44 [DEBUG] face-presence-api: [BatchLogger] No durations, skip flush
2025-11-12 15:00:44 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:44 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:45 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:45 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:45 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:46 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:46 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:47 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:47 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:47 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:48 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:48 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:49 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:49 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:49 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:50 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:50 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:51 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:51 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:51 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:52 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:52 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:53 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:53 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:53 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:54 [DEBUG] face-presence-api: [BatchLogger] No verifications, skip flush
2025-11-12 15:00:54 [DEBUG] face-presence-api: [BatchLogger] No registrations, skip flush
2025-11-12 15:00:54 [DEBUG] face-presence-api: [BatchLogger] No durations, skip flush
2025-11-12 15:00:54 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:54 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:55 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:55 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:56 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:56 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:56 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:57 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:57 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:57 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:58 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:58 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:59 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:00:59 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:01:00 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:01:00 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:01:00 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:01:01 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:01:01 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:01:02 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:01:02 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:01:02 [INFO] watchfiles.main: 1 change detected
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_part_begin with no data
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_header_field with data[54:73]
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_header_value with data[75:100]
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_header_end with no data
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_headers_finished with no data
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_part_data with data[104:116]
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_part_end with no data
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_part_begin with no data
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_header_field with data[172:191]
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_header_value with data[193:239]
2025-11-12 15:01:02 [DEBUG] python_multipart.multipart: Calling on_header_end with no data
2025-11-12 15:01:03 [DEBUG] python_multipart.multipart: Calling on_header_field with data[241:253]
